Country,Foreignborn,Nativeborn
Austria,78.1,89
Belgium,75.7,89.2
CzechRepublic,83.5,85.9
Denmark,80.1,88.8
Estonia,81.2,87.5
Finland,76.1,86.8
France,73.2,87.8
Germany,80,91.4
Greece,55.2,77
Hungary,87.2,85.7
Iceland,89.8,91.9
Ireland,81.6,87.3
Israel,85.5,88.5
Italy,70.2,82.7
Lithuania,83.7,91.6
Latvia,81,89.9
Luxembourg,84.7,87.7
Mexico,71.3,79.8
Netherlands,78.8,90.9
Norway,84.2,90.9
Poland,81.1,89
Portugal,82.4,89.6
SlovakRepublic,81,83.9
Slovenia,82.3,90.8
Spain,70.8,83.1
Sweden,81.2,93.3
Switzerland,84.3,92.3
UnitedKingdom,83.1,87.6
UnitedStates,79.2,83.9
