Rank,Country,Happiness2021,Happiness2020,ScoreChange
1,Finland,7.842,7.809,0.033
2,Denmark,7.62,7.646,-0.026
3,Switzerland,7.571,7.56,0.011
4,Iceland,7.554,7.504,0.050
5,Netherlands,7.464,7.449,0.015
6,Norway,7.392,7.488,-0.096
7,Sweden,7.363,7.353,0.010
8,Luxembourg,7.324,7.238,0.086
9,New Zealand,7.277,7.3,-0.023
10,Austria,7.268,7.294,-0.026
11,Australia,7.183,7.223,-0.040
12,Israel,7.157,7.129,0.028
13,Germany,7.155,7.076,0.079
14,Canada,7.103,7.232,-0.129
15,Ireland,7.085,7.129,-0.044
16,Costa Rica,7.069,7.121,-0.052
17,United Kingdom,7.064,7.165,-0.101
18,Czech Republic,6.965,6.911,0.054
19,United States,6.951,6.94,0.011
20,Belgium,6.834,6.864,-0.030
21,France,6.69,6.664,0.026
22,Bahrain,6.647,6.227,0.420
23,Malta,6.602,6.773,-0.171
24,Taiwan,6.584,6.455,0.129
25,United Arab Emirates,6.561,6.791,-0.230
26,Saudi Arabia,6.494,6.406,0.088
27,Spain,6.491,6.401,0.090
28,Italy,6.483,6.387,0.096
29,Slovenia,6.461,6.363,0.098
30,Guatemala,6.435,6.399,0.036
31,Uruguay,6.431,6.44,-0.009
32,Singapore,6.377,6.377,0.000
33,Slovakia,6.331,6.281,0.050
34,Brazil,6.33,6.376,-0.046
35,Mexico,6.317,6.465,-0.148
36,Jamaica,6.309,5.89,0.419
37,Lithuania,6.255,6.215,0.040
38,Cyprus,6.223,6.159,0.064
39,Estonia,6.189,6.022,0.167
40,Panama,6.18,6.305,-0.125
41,Uzbekistan,6.179,6.258,-0.079
42,Chile,6.172,6.228,-0.056
43,Poland,6.166,6.186,-0.020
44,Kazakhstan,6.152,6.058,0.094
45,Romania,6.14,6.124,0.016
46,Kuwait,6.106,6.102,0.004
47,Serbia,6.078,5.778,0.300
48,El Salvador,6.061,6.348,-0.287
49,Mauritius,6.049,6.101,-0.052
50,Latvia,6.032,5.95,0.082
51,Colombia,6.012,6.163,-0.151
52,Hungary,5.992,6,-0.008
53,Thailand,5.985,5.999,-0.014
54,Nicaragua,5.972,6.137,-0.165
55,Japan,5.94,5.871,0.069
56,Argentina,5.929,5.975,-0.046
57,Portugal,5.929,5.911,0.018
58,Honduras,5.919,5.953,-0.034
59,Croatia,5.882,5.505,0.377
60,Philippines,5.88,6.006,-0.126
61,South Korea,5.845,5.872,-0.027
