,22,21,20
AGO,,,
ALB,77,94,77
ALG,74,89,100
ARG,42,46,50
ARM,26,37,37
AUS,29,18,8
AUT,56,64,65
AZE,34,51,65
BAH,,,
BEL,63,43,50
BEN,,,
BFA,,,
BGD,57,43,38
BGR,16,18,38
BIH,36,40,56
BLR,31,24,45
BOL,79,77,93
BRA,19,35,10
BRU,,,
BWA,98,107,100
CAN,14,5,12
CHI,89,84,95
CHN,1,1,1
CIS,,,
CIV,,,
COL,75,61,35
CRI,66,84,88
CUB,100,,
CYP,67,77,80
CZE,52,16,23
CZS,,,
DEN,53,67,53
DOM,93,,
ECU,89,73,64
EGY,,103,
ESP,42,63,31
EST,50,50,57
FIN,62,69,60
FRA,32,27,14
GDR,,,
GEO,53,41,18
GER,7,12,26
GHA,97,94,93
GMB,,,
GTM,,,
HEL,26,64,55
HKG,19,21,28
HND,88,92,88
HRV,34,21,32
HUN,32,32,13
IDN,38,33,32
IND,24,26,
IRL,69,93,70
IRN,8,29,18
IRQ,,89,97
ISL,83,94,92
ISR,10,7,21
ITA,10,7,6
JAM,,,
JPN,8,25,18
KAZ,17,20,21
KEN,,103,104
KGZ,76,73,76
KHM,,,
KOR,2,3,4
KSV,81,84,78
KWT,,,
LAO,,,
LIE,102,,
LKA,73,81,61
LTU,48,76,54
LUX,93,98,103
LVA,63,48,67
MAC,49,54,63
MAR,70,75,90
MAS,44,41,32
MDA,47,51,52
MDG,,,
MEX,23,34,45
MKD,39,45,72
MMR,,,91
MNE,95,79,73
MNG,29,11,29
MOZ,,,
MRT,84,98,
NCY,,,
NGA,,100,86
NIC,,81,95
NLD,40,47,29
NOR,61,51,58
NPL,89,91,102
NZL,58,69,47
OMN,96,103,104
PAK,82,103,82
PAN,84,72,84
PAR,78,87,75
PER,19,30,36
PHI,55,23,43
POL,12,13,6
POR,44,54,44
PRI,86,79,78
PRK,,,
PSE,99,,
ROU,5,27,15
RUS,,2,2
RWA,87,101,
SAF,63,60,61
SAU,22,38,59
SCG,,,
SGP,24,15,16
SLV,80,71,68
SRB,37,31,25
SUI,40,48,49
SVK,46,39,40
SVN,72,64,40
SWE,60,57,40
SYR,70,68,47
THA,6,16,5
TJK,59,59,74
TKM,,58,85
TTO,,97,99
TUN,67,56,71
TUR,26,35,26
TWN,14,9,23
TZA,,,98
UAE,103,,
UGA,100,101,87
UKR,17,6,11
UNK,13,9,9
URY,89,88,80
USA,3,4,3
USS,,,
UZB,50,61,69
VEN,104,83,83
VNM,4,14,17
YUG,,,
ZWE,,,
