pop2023,growthRate,country,cca3,region,subregion,landAreaKm
5545475,0.00085,Finland,FIN,Europe,Northern Europe,303940
5910913,0.00487,Denmark,DNK,Europe,Northern Europe,40000
8796669,0.00643,Switzerland,CHE,Europe,Western Europe,39516
375318,0.00649,Iceland,ISL,Europe,Northern Europe,100830
17618299,0.00309,Netherlands,NLD,Europe,Western Europe,33670
5474360,0.00737,Norway,NOR,Europe,Northern Europe,364285
10612086,0.00595,Sweden,SWE,Europe,Northern Europe,407283.5
654768,0.01107,Luxembourg,LUX,Europe,Western Europe,2574.5
5228100,0.00826,New Zealand,NZL,Oceania,Australia and New Zealand,263310
8958960,0.00216,Austria,AUT,Europe,Western Europe,82520
26439111,0.01,Australia,AUS,Oceania,Australia and New Zealand,7692020
9174520,0.01507,Israel,ISR,Asia,Western Asia-The Middle East,21640
83294633,-0.0009,Germany,DEU,Europe,Western Europe,349390
38781291,0.0085,Canada,CAN,North America,Northern America,8965590
5056935,0.00673,Ireland,IRL,Europe,Northern Europe,68890
5212173,0.00605,Costa Rica,CRI,North America,Central America-Latin America,51060
67736802,0.00338,United Kingdom,GBR,Europe,Northern Europe,241930
10495295,0.00013,Czech Republic,CZE,Europe,Eastern Europe,77198.5
339996563,0.00505,United States,USA,North America,Northern America,9147420
11686140,0.00259,Belgium,BEL,Europe,Western Europe,30280
64756584,0.00201,France,FRA,Europe,Western Europe,547557
1485509,0.00902,Bahrain,BHR,Asia,Western Asia-The Middle East,785
535064,0.00333,Malta,MLT,Europe,Southern Europe,320
23923276,0.00125,Taiwan,TWN,Asia,Eastern Asia,36197
9516871,0.00802,United Arab Emirates,ARE,Asia,Western Asia-The Middle East,71020
36947025,0.01478,Saudi Arabia,SAU,Asia,Western Asia-The Middle East,2149690
47519628,-0.00082,Spain,ESP,Europe,Southern Europe,499556.6
58870762,-0.00282,Italy,ITA,Europe,Southern Europe,295717
2119675,-0.00008,Slovenia,SVN,Europe,Southern Europe,20136.4
18092026,0.01391,Guatemala,GTM,North America,Central America-Latin America,107160
3423108,0.00009,Uruguay,URY,South America,South America-Latin America,175020
6014723,0.00653,Singapore,SGP,Asia,South-Eastern Asia,718
5795199,0.02689,Slovakia,SVK,Europe,Eastern Europe,49035
216422446,0.00515,Brazil,BRA,South America,South America-Latin America,8358140
128455567,0.00746,Mexico,MEX,North America,Central America-Latin America,1943950
2825544,-0.00065,Jamaica,JAM,North America,Caribbean,10830
2718352,-0.01153,Lithuania,LTU,Europe,Northern Europe,62620
1260138,0.00691,Cyprus,CYP,Europe,Eastern Europe-The Middle East,9240
1322765,-0.00249,Estonia,EST,Europe,Northern Europe,42750
4468087,0.0135,Panama,PAN,North America,Central America-Latin America,74180
35163944,0.01549,Uzbekistan,UZB,Asia,Central Asia-South Central Asia,440650
19629590,0.00132,Chile,CHL,South America,South America-Latin America,743532
41026067,0.02933,Poland,POL,Europe,Eastern Europe,306130
19606633,0.01076,Kazakhstan,KAZ,Asia,Central Asia,2699700
19892812,0.01188,Romania,ROU,Europe,Eastern Europe,230080
4310108,0.00966,Kuwait,KWT,Asia,Western Asia-The Middle East,17820
7149077,-0.01001,Serbia,SRB,Europe,Southern Europe,87460
6364943,0.00451,El Salvador,SLV,North America,Central America-Latin America,20720
1300557,0.00084,Mauritius,MUS,Africa,Eastern Africa-Sub-Saharan Africa,2030
1830211,-0.01105,Latvia,LVA,Europe,Northern Europe,62230
52085168,0.00407,Colombia,COL,South America,South America-Latin America,1109500
10156239,0.01896,Hungary,HUN,Europe,Eastern Europe,91260
71801279,0.00145,Thailand,THA,Asia,South-Eastern Asia,510890
7046310,0.01409,Nicaragua,NIC,North America,Central America-Latin America,120340
123294513,-0.0053,Japan,JPN,Asia,Eastern Asia,364500
45773884,0.00579,Argentina,ARG,South America,South America-Latin America,2736690
10247605,-0.00227,Portugal,PRT,Europe,Southern Europe,91605.6
10593798,0.01543,Honduras,HND,North America,Central America-Latin America,111890
4008617,-0.00539,Croatia,HRV,Europe,Southern Europe,55960
117337368,0.01539,Philippines,PHL,Asia,South-Eastern Asia,298170
51784059,-0.00061,South Korea,KOR,Asia,Eastern Asia,97600
34352719,0.0089,Peru,PER,South America,South America-Latin America,1280000
3210847,-0.00701,Bosnia and Herzegovina,BIH,Europe,Southern Europe,51200
3435931,0.04978,Moldova,MDA,Europe,Eastern Europe,32884.6
