pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration,HDI,Mean_years_of_schooling,GNI,Happiness2021,Happiness2020,Happiness.ScoreChange,Tertiary,UpperSecondary,BelowUpperSecondary
98858950,0.00685,Vietnam,VNM,Asia,South-Eastern Asia,313429,4,14,17,,,,,,,5.411,5.353,0.058,,,
28838499,0.01897,Venezuela,VEN,South America,South America-Latin America,882050,104,83,83,,,,,,,4.892,5.053,-0.161,,,
144444359,-0.00186,Russia,RUS,Europe,Eastern Europe,16376870,,2,2,,,,0.822,12.8,27166,5.477,5.546,-0.069,56.7,38.5,4.8
35163944,0.01549,Uzbekistan,UZB,Asia,Central Asia-South Central Asia,440650,50,61,69,,,,,,,6.179,6.258,-0.079,,,
3423108,0.00009,Uruguay,URY,South America,South America-Latin America,175020,89,88,80,,,,0.809,9.0,21269,6.431,6.44,-0.009,,,
339996563,0.00505,United States,USA,North America,Northern America,9147420,3,4,3,79.2,83.9,707362,0.921,13.7,64765,6.951,6.94,0.011,50.1,41.7,8.3
51784059,-0.00061,South Korea,KOR,Asia,Eastern Asia,97600,2,3,4,,,233133,0.925,12.5,44501,5.845,5.872,-0.027,50.7,38.6,10.6
67736802,0.00338,United Kingdom,GBR,Europe,Northern Europe,241930,13,9,9,83.1,87.6,,0.929,13.4,45225,7.064,7.165,-0.101,49.4,32.3,18.3
36744634,-0.07448,Ukraine,UKR,Europe,Eastern Europe,579400,17,6,11,,,,0.773,11.1,13256,4.875,4.561,0.314,,,
48582334,0.02821,Uganda,UGA,Africa,Eastern Africa-Sub-Saharan Africa,200520,100,101,87,,,,,,,4.636,4.432,0.204,,,
6516100,0.01327,Turkmenistan,TKM,Asia,Central Asia-South Central Asia,469930,,58,85,,,,,,,5.066,5.119,-0.053,,,
85816199,0.00557,Turkey,TUR,Asia,Western Asia-The Middle East,783562,26,35,26,,,,0.838,8.6,31033,4.948,5.132,-0.184,22,19.7,58.3
12458223,0.00826,Tunisia,TUN,Africa,Northern Africa,155360,67,56,71,,,,,,,4.596,4.392,0.204,,,
71801279,0.00145,Thailand,THA,Asia,South-Eastern Asia,510890,6,16,5,,,,0.800,8.7,17030,5.985,5.999,-0.014,,,
8796669,0.00643,Switzerland,CHE,Europe,Western Europe,39516,40,48,49,84.3,92.3,136962,0.962,13.9,66933,7.571,7.56,0.011,45.3,44,10.7
67438106,0.02963,Tanzania,TZA,Africa,Eastern Africa-Sub-Saharan Africa,885800,,,98,,,,,,,3.623,3.476,0.147,,,
5474360,0.00737,Norway,NOR,Europe,Northern Europe,364285,61,51,58,84.2,90.9,30818,0.961,13.0,64660,7.392,7.488,-0.096,45.3,37.2,17.5
