,Migrant_population,Female_population,Density,Innovation,Mobile_phone,Internet,Taxes,Trade,Youth_unemployment,GDP,Tertiary,Secondary,Primary,Preprimary,Education,Cost_of_living,HDI,rank2021,rank2020,rank2019,rank2018,rank2017,rank2016,rank2015,rank2014,rank2013,rank2012,rank2011,rank2010,rank2009,rank2008,rank2007,rank2006,rank2005,rank2004,rank2003,rank2002,rank2001,rank2000,rank1999,rank1997,rank1996,rank1995,rank1994,rank1993,rank1992,Region,Happiness2021,Happiness2020,Happiness_rank,Rank_Mean
Germany,15,50.54,238,57.2,128.19,44.22,17.28,228.91,6.95,50801.79,72.99,97.11,101.1,108.03,141,70.6,0.942,12,26,32,31,33,19,27,16,27,31,11,9,9,20,15,4,12,25,17,10,14,20,17,13,10,15,11,2,7,Europe,7.155,7.076,13,22.83333333
Bulgaria,1,51.45,64,39.5,114.35,32.62,16.87,1.45,14.15,11634.97,75.41,87.97,85.22,84.29,32.61,40.9,0.795,18,38,19,21,18,18,29,37,38,19,20,21,19,14,9,21,11,5,1,4,4,5,5,7,11,6,4,3,15,Europe,5.266,5.102,86,24.66666667
Japan,2,51.18,346,53.6,154.22,36.08,NA,-22.51,4.36,39285.16,NA,NA,NA,NA,139.6,87.8,0.925,25,18,13,13,6,10,22,5,11,17,12,7,2,11,6,7,8,8,9,16,13,15,13,12,11,9,10,20,8,Asia,5.94,5.871,55,13.25
ChiNA,0,48.73,150,55.3,119.39,37.58,21.15,462.81,11.35,12556.33,58.42,NA,103.17,90.49,117.38,42.5,0.768,1,1,1,3,2,3,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,6,1,2,1,1,Asia,5.339,5.124,82,1.583333333
Poland,2,51.55,124,37.5,130.4,23,13.20,30.78,13.42,17840.92,70.48,115.24,84.13,93.87,53.04,42.0,0.876,13,6,10,9,22,42,17,26,45,18,15,24,25,13,18,11,27,16,22,21,19,32,19,20,13,16,13,28,24,Europe,6.166,6.186,43,20.58333333
Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.47,65.2,NA,9,23,21,6,9,5,18,3,8,14,8,19,11,9,9,10,7,6,16,7,9,8,9,14,20,12,13,5,17,Asia,6.584,6.455,24,11.91666667
Iran,3,49.53,54,32.9,151.95,12.14,NA,NA,27.21,NA,58.22,89.38,109.7,72.48,29.31,41.3,0.774,29,18,23,19,5,24,7,21,10,8,10,16,15,5,12,8,4,9,17,11,18,10,8,3,9,8,8,6,14,Asia,4.721,4.672,116,15.83333333
SouthKorea,3,49.95,531,57.8,137.54,44.27,28.06,73.1,7.78,34757.72,102.47,96.04,99.2,91.78,158.34,81.2,0.925,3,4,3,7,1,2,3,7,2,1,13,4,4,4,3,3,5,12,6,6,4,4,7,11,8,7,13,15,18,Asia,5.845,5.872,61,4.166666667
Russia,8,53.64,9,34.3,163.59,23.73,2.09,170.3,16.89,12172.79,NA,NA,NA,NA,28.08,33.2,0.822,2,2,6,2,11,7,8,4,4,4,4,2,3,2,1,2,3,3,5,2,2,2,1,4,4,3,3,4,6,Europe,5.477,5.546,74,4.666666667
VietNAm,0,50.07,308,34.3,142.73,19.83,NA,1.96,7.24,3694.02,NA,NA,117.16,92.76,NA,38.0,0.703,14,17,7,20,3,11,5,10,7,9,31,11,15,12,3,13,15,4,4,5,10,5,3,10,7,4,6,9,10,Asia,5.411,5.353,77,12.08333333
USA,14,50.52,36,61.8,106.19,37.7,51.36,-861.4,9.57,69287.54,87.57,100.51,100.31,72.4,272.75,NA,0.921,4,3,1,1,4,1,1,2,3,3,2,3,6,3,5,5,2,2,3,3,2,3,10,4,2,11,1,7,2,NorthAmerica,6.951,6.94,19,2.333333333
