country,cca3,Africa,Asia,Europe,NorthAmerica,Oceania,SouthAmerica,ranking2021,ranking2020,pop2023,growthRate,landArea,hdi,education,gni,qol,happiness,crime,iq
Japan,JPN,0,1,0,0,0,0,25,18,123294513,-0.0053,364500,0.925,13.4,42274,164.06,5.94,22.19,106.48
Venezuela,VEN,0,0,0,0,0,1,83,83,28838499,0.01897,882050,,,,,4.892,83.76,82.99
Taiwan,TWN,0,1,0,0,0,0,9,23,23923276,0.00125,36197,,,,,6.584,15.46,106.47
Singapore,SGP,0,1,0,0,0,0,15,16,6014723,0.00653,718,0.939,11.9,90919,146.48,6.377,27.96,105.89
Argentina,ARG,0,0,0,0,0,1,46,50,45773884,0.00579,2736690,0.842,11.1,20925,104.31,5.929,63.82,86.63
Hong Kong,HKG,0,1,0,0,0,0,21,28,7491609,0.00037,1050,0.952,12.2,62607,96.1,5.477,22,105.37
China,CHN,0,1,0,0,0,0,1,1,1425671352,-0.00015,9424702.9,0.768,7.6,17504,103.16,5.339,30.14,104.1
Australia,AUS,0,0,0,0,1,0,18,8,26439111,0.01,7692020,0.951,12.7,49238,178.41,7.183,43.03,99.24
South Korea,KOR,0,1,0,0,0,0,3,4,51784059,-0.00061,97600,0.925,12.5,44501,124.73,5.845,26.68,102.35
Belarus,BLR,0,0,1,0,0,0,24,45,9498238,-0.00385,202980,0.808,12.1,18849,107.15,5.534,59.58,101.6
Azerbaijan,AZE,0,1,0,0,0,0,51,65,10412651,0.00527,82646,,,,101.41,5.171,32.02,84.81
Finland,FIN,0,0,1,0,0,0,69,60,5545475,0.00085,303940,0.940,12.9,49452,178.95,7.842,27.59,101.2
Germany,DEU,0,0,1,0,0,0,12,26,83294633,-0.0009,349390,0.942,14.1,54534,175.24,7.155,35.79,100.74
Brazil,BRA,0,0,0,0,0,1,35,10,216422446,0.00515,8358140,,,,104.7,6.33,67.49,83.38
Netherlands,NLD,0,0,1,0,0,0,47,29,17618299,0.00309,33670,0.941,12.6,55979,180.27,7.464,27.16,100.74
Belgium,BEL,0,0,1,0,0,0,43,50,11686140,0.00259,30280,0.937,12.4,52293,148.18,6.834,44.58,97.49
Estonia,EST,0,0,1,0,0,0,50,57,1322765,-0.00249,42750,0.890,13.5,38048,171.16,6.189,23.71,100.72
Luxembourg,LUX,0,0,1,0,0,0,98,103,654768,0.01107,2574.5,0.930,13.0,84649,171.81,7.324,34.13,99.87
Bulgaria,BGR,0,0,1,0,0,0,18,38,6687717,-0.0139,108560,0.795,11.4,23079,126.88,5.266,38.21,90.99
Canada,CAN,0,0,0,1,0,0,5,12,38781291,0.0085,8965590,0.936,13.8,46808,157.25,7.103,41.89,99.52
Hungary,HUN,0,0,1,0,0,0,32,13,10156239,0.01896,91260,0.846,12.2,32789,134.54,5.992,34.36,99.24
Chile,CHL,0,0,0,0,0,1,84,95,19629590,0.00132,743532,0.855,10.9,24563,97.27,6.172,53.42,87.89
Switzerland,CHE,0,0,1,0,0,0,48,49,8796669,0.00643,39516,0.962,13.9,66933,188.36,7.571,21.62,99.24
Colombia,COL,0,0,0,0,0,1,61,35,52085168,0.00407,1109500,,,,102.02,6.012,56.87,83.13
United Kingdom,GBR,0,0,1,0,0,0,9,9,67736802,0.00338,241930,0.929,13.4,45225,156.94,7.064,46.07,99.12
Costa Rica,CRI,0,0,0,1,0,0,84,88,5212173,0.00605,51060,0.809,8.8,19974,120.42,7.069,54.22,88.34
Slovenia,SVN,0,0,1,0,0,0,64,40,2119675,-0.00008,20136.4,0.918,12.8,39746,165.74,6.461,22.28,98.6
New Zealand,NZL,0,0,0,0,1,0,69,47,5228100,0.00826,263310,0.937,12.9,44057,173.6,7.277,42.88,98.57
Austria,AUT,0,0,1,0,0,0,64,65,8958960,0.00216,82520,0.916,12.3,53619,176.36,7.268,25.54,98.38
Malaysia,MYS,0,1,0,0,0,0,41,32,34308525,0.01091,328550,0.803,10.6,26658,115.02,5.384,57.29,87.58
Iceland,ISL,0,0,1,0,0,0,94,92,375318,0.00649,100830,0.959,13.8,55782,177.64,7.554,23.75,98.26
France,FRA,0,0,1,0,0,0,27,14,64756584,0.00201,547557,0.903,11.6,45937,153.6,6.69,51.99,96.69
Denmark,DNK,0,0,1,0,0,0,67,53,5910913,0.00487,40000,0.948,13.0,60365,186.25,7.62,26.22,97.83
United States,USA,0,0,0,1,0,0,4,3,339996563,0.00505,9147420,0.921,13.7,64765,163.6,6.951,47.81,97.43
