year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,42,42,42,42,42,252,1,6,0,0,0
2021,6,42,16,24,42,42,42,208,1,6,0,0,0
2020,6,42,38,31,42,42,20,215,1,5,1,0,0
2019,6,40,41,27,41,42,36,227,1,6,0,0,0
2018,6,42,37,17,42,42,19,199,3,4,2,0,0
2017,6,42,25,0,42,19,31,159,2,5,1,0,0
2016,6,42,30,20,42,42,28,204,3,4,2,0,0
2015,6,42,36,12,42,22,27,181,2,4,2,0,0
2014,6,42,42,16,42,35,24,201,1,5,1,0,0
2013,6,42,38,30,41,42,15,208,1,5,1,0,0
2012,6,42,40,14,31,38,30,195,2,5,0,1,0
2011,6,42,12,42,42,42,9,189,1,6,0,0,0
2010,6,41,42,23,42,24,25,197,1,6,0,0,0
2009,6,42,42,42,42,42,11,221,1,6,0,0,0
2008,6,42,42,42,42,35,14,217,1,5,1,0,0
2007,6,36,42,17,41,42,3,181,2,4,2,0,0
2006,6,42,42,35,41,38,16,214,1,6,0,0,0
2005,6,32,42,35,42,42,42,235,1,5,1,0,0
2004,6,37,41,21,42,37,42,220,1,6,0,0,0
2003,6,42,40,28,42,42,17,211,2,5,1,0,0
2002,6,41,41,24,42,42,22,212,1,6,0,0,0
2001,6,42,40,23,42,42,36,225,1,6,0,0,0
2000,6,42,42,19,39,42,34,218,1,6,0,0,0
1999,6,40,41,11,42,33,15,182,1,4,2,0,0
1997,6,39,42,38,38,41,25,223,1,6,0,0,0
1996,6,34,42,32,36,0,16,160,6,3,2,1,0
1995,6,42,42,40,36,42,34,236,1,4,2,0,0
1994,6,42,42,42,42,40,21,229,2,3,3,0,0
1993,6,35,42,34,39,39,26,215,1,6,0,0,0
1992,6,41,42,42,38,35,42,240,1,6,0,0,0
1991,6,42,42,31,42,42,32,231,2,4,2,0,0
1990,6,42,42,35,42,40,29,230,1,5,1,0,0
1989,6,40,42,37,41,42,35,237,1,4,2,0,0
1988,6,42,41,17,42,42,17,201,2,2,4,0,0
1987,6,31,42,27,38,40,22,200,8,2,2,2,
1986,6,30,42,14,29,30,32,177,4,3,1,1,
1985,2,8,14,0,4,0,0,27,32,0,0,1,
