year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,42,16,42,39,11,192,7,1,4,1,0
2021,6,41,16,2,37,28,5,129,12,2,2,1,1
2020,6,37,25,0,41,35,2,140,26,0,3,3,0
2019,6,36,9,3,29,42,7,126,32,1,0,3,2
2018,6,30,23,3,42,24,9,131,31,1,2,1,2
2017,6,41,16,0,34,15,0,106,33,0,1,3,2
2016,6,40,29,7,42,10,3,131,19,0,3,3,0
2015,6,35,14,3,33,9,8,102,27,0,2,3,0
2014,6,42,33,8,40,22,7,152,16,0,6,0,0
2013,6,39,22,0,42,24,0,127,27,0,2,4,0
2012,6,27,15,8,34,11,7,102,31,0,2,3,1
2011,6,42,11,18,36,36,7,150,11,1,3,2,0
2010,6,39,31,9,42,5,12,138,9,1,3,2,0
2009,6,42,33,11,38,37,10,171,9,1,4,1,0
2008,6,41,21,12,33,23,9,139,20,1,2,3,0
2007,6,33,15,5,42,29,8,132,15,1,3,1,1
2006,6,42,24,9,42,32,8,157,4,4,0,2,0
2005,6,25,36,8,37,35,22,163,12,1,3,2,0
2004,6,38,21,11,35,16,9,130,25,0,3,1,2
2003,6,23,24,14,35,6,10,112,17,1,2,1,2
2002,6,38,26,17,31,21,11,144,10,2,1,2,1
2001,6,35,25,13,25,21,12,131,14,1,3,1,0
2000,6,20,19,6,36,26,1,108,20,1,1,2,1
1999,6,35,23,13,24,7,6,108,17,0,2,4,0
1998,6,30,27,17,23,25,7,129,16,0,3,2,0
1997,6,29,28,32,42,23,7,161,13,1,3,2,0
1996,6,38,24,20,29,7,19,137,10,3,1,1,0
1995,6,35,14,33,37,35,8,162,15,1,3,1,1
1994,6,27,35,42,28,20,23,175,11,1,2,3,0
1993,6,29,13,24,41,40,42,189,2,4,2,0,0
1992,6,38,27,32,18,10,24,149,7,0,4,2,0
1991,6,28,41,33,42,42,36,222,4,1,5,0,0
1990,6,13,42,13,16,41,13,138,12,0,2,4,0
1989,6,36,33,16,36,42,24,187,8,1,3,2,0
1988,6,42,42,25,31,32,2,174,4,1,4,1,0
1987,6,42,42,42,42,42,38,248,2,4,2,0,
1986,6,32,42,10,42,40,30,196,3,2,4,0,
1985,6,25,41,16,26,8,23,139,7,1,1,4,
1984,6,38,34,16,34,14,14,150,9,0,2,4,
1983,6,,,,,,,212,1,4,1,0,
1982,4,28,16,27,21,28,25,145,1,2,2,0,
1981,8,49,54,43,54,56,56,312,2,5,2,1,
1979,8,36,46,50,37,17,49,235,3,1,5,1,
1978,8,34,29,32,36,45,8,184,6,1,0,3,
1977,8,,,,,,,165,7,1,1,4,
