year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,40,38,12,42,40,16,188,10,2,2,2,0
2021,6,41,4,9,35,42,8,139,7,1,4,1,0
2020,6,42,30,13,41,42,3,171,6,2,3,1,0
2019,6,42,36,0,30,31,1,140,27,0,2,4,0
2018,6,42,31,1,37,37,6,154,17,0,4,2,0
2017,6,42,22,0,34,18,0,116,18,2,1,1,2
2016,6,41,28,2,38,22,7,138,15,1,3,0,2
2015,6,27,16,15,26,12,4,100,29,1,2,0,0
2014,6,41,27,9,33,11,7,128,26,1,2,1,1
2013,6,34,27,9,42,25,0,137,20,1,2,1,2
2012,6,39,16,1,30,6,1,93,38,0,2,1,2
2011,6,38,15,5,42,29,0,129,19,1,3,1,1
2010,6,40,27,3,42,18,3,133,11,1,3,2,0
2009,6,42,38,18,29,38,0,165,11,2,2,2,0
2008,6,42,15,15,41,18,1,132,24,0,3,3,0
2007,6,31,20,1,42,14,8,116,21,1,1,3,1
2006,6,40,26,1,41,22,2,132,12,2,2,0,1
2005,6,18,40,0,35,12,15,120,24,0,2,4,0
2004,6,28,8,5,18,9,1,69,49,0,0,2,1
2003,6,21,5,0,22,2,0,50,49,0,0,1,4
2002,6,28,21,1,30,8,0,88,33,0,0,5,1
2001,6,12,0,5,30,9,0,56,46,0,0,2,2
2000,6,20,12,3,19,3,0,57,50,0,0,3,0
1999,6,35,3,17,14,4,9,82,23,0,1,2,0
1998,6,25,7,6,20,14,0,72,38,0,0,3,2
1997,6,16,15,2,20,18,0,71,48,0,0,1,3
1996,6,24,10,15,13,2,22,86,25,0,2,2,0
1995,6,42,0,29,33,20,7,131,26,0,0,5,1
1994,6,5,28,26,19,16,8,102,36,0,0,2,3
1993,6,17,7,10,12,31,9,86,23,1,0,2,0
1992,6,11,25,16,13,2,16,83,28,0,0,3,1
1991,6,13,17,12,21,4,7,74,36,0,0,1,1
1990,6,10,28,15,26,36,16,131,13,1,1,4,0
1989,6,21,31,1,31,23,17,124,18,0,1,2,3
1988,4,13,12,8,1,10,0,44,35,0,0,1,1
1987,4,4,7,7,7,7,3,35,35,0,0,1,
1986,3,8,16,0,12,13,0,49,34,0,0,2,
1985,5,9,3,0,4,2,2,20,36,0,0,0,
1984,6,0,0,0,0,0,0,0,34,0,0,0,
1983,6,,,,,,,2,32,0,0,0,
1977,5,,,,,,,22,20,0,0,0,
1968,8,13,32,15,23,14,35,132,11,0,0,1,0
1967,6,,,,,,,110,10,0,1,1,
