year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,41,42,14,42,40,12,191,8,1,4,1,0
2021,6,42,3,1,34,21,7,108,25,1,2,3,0
2020,6,42,23,7,38,36,3,149,18,0,5,1,0
2019,6,42,32,8,31,42,7,162,13,2,2,2,0
2018,6,40,37,3,32,36,10,158,13,1,3,2,0
2017,6,41,21,0,42,23,7,134,6,2,2,2,0
2016,6,39,35,2,42,20,18,156,10,1,4,1,0
2015,6,42,11,8,38,8,2,109,22,0,3,3,0
2014,6,38,36,9,37,37,20,177,5,4,1,1,0
2013,6,42,28,10,42,41,0,163,11,0,6,0,0
2012,6,42,15,4,27,28,5,121,17,0,4,1,1
2011,6,42,15,8,41,36,5,147,12,2,2,2,0
2010,6,41,29,15,42,6,8,141,7,2,3,0,1
2009,6,42,42,34,33,42,19,212,2,5,0,1,0
2008,6,40,28,18,41,35,1,163,11,2,3,1,0
2007,6,42,42,4,42,22,2,154,6,2,4,0,0
2006,6,40,35,13,42,13,3,146,7,2,3,1,0
2005,6,29,42,16,42,23,36,188,8,3,1,2,0
2004,6,40,37,16,42,22,25,182,8,2,4,0,0
2003,6,39,22,0,40,20,10,131,9,1,3,2,0
2002,6,40,21,11,31,27,3,133,16,1,3,1,0
2001,6,42,18,7,33,28,6,134,13,1,3,2,0
2000,6,33,11,11,32,24,14,125,15,1,2,3,0
1999,6,37,15,26,22,21,14,135,13,2,4,0,0
1998,6,25,42,15,35,16,6,139,14,1,1,3,1
1997,6,31,36,24,31,26,15,163,12,1,3,1,1
1996,6,36,15,24,32,1,28,136,11,1,3,1,0
1995,6,42,14,25,41,42,19,183,9,1,3,2,0
1994,6,21,42,42,34,26,15,180,10,1,2,3,0
1993,6,15,4,14,18,27,20,98,20,0,2,3,0
1992,6,27,28,24,33,4,26,142,8,1,3,1,1
1991,6,40,35,28,24,33,20,180,12,0,3,3,0
1990,6,20,25,9,17,26,10,107,20,0,2,1,0
