year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,38,14,42,36,11,183,12,0,4,2,0
2021,6,34,2,1,37,42,10,126,13,1,5,0,0
2020,6,42,26,14,42,42,5,171,6,2,3,1,0
2019,6,42,28,9,40,42,7,168,10,1,3,2,0
2018,6,42,39,7,42,37,7,174,9,1,5,0,0
2017,6,39,23,0,42,9,2,115,22,1,0,5,0
2016,6,38,10,1,37,16,0,102,42,0,2,2,2
2015,6,33,12,21,38,7,6,117,17,1,1,4,0
2014,6,41,31,5,42,8,1,128,26,1,0,4,1
2013,6,20,18,0,29,12,0,79,45,0,1,1,3
2012,6,40,22,10,25,22,0,119,18,0,2,4,0
2011,6,37,1,17,42,36,3,136,15,2,2,1,1
2010,6,41,21,1,35,9,9,116,24,2,1,1,2
2009,6,41,29,11,17,42,0,140,25,0,2,4,0
2008,6,42,30,14,36,35,0,157,13,2,3,1,0
2007,6,36,16,3,40,26,1,122,18,1,2,2,0
2006,6,36,20,9,41,20,7,133,11,1,2,3,0
2005,6,21,17,7,25,22,13,105,27,0,1,5,0
2004,6,35,25,9,35,28,10,142,16,2,1,1,1
2003,6,25,25,0,35,14,3,102,22,1,2,0,2
2002,6,35,32,6,31,14,5,123,21,0,4,1,1
2001,6,34,1,22,31,19,0,107,19,0,3,1,1
2000,6,30,17,6,18,0,4,75,32,0,1,2,1
1999,6,38,9,23,10,18,6,104,19,1,0,5,0
1998,6,28,34,4,24,21,1,112,21,1,1,1,3
1997,6,19,21,16,39,25,5,125,20,0,2,2,2
1996,6,28,10,33,17,5,29,122,13,0,3,3,0
1995,6,35,14,18,39,29,26,161,16,0,1,5,0
1994,6,27,30,37,23,32,21,170,13,2,0,3,1
1993,6,14,6,17,13,18,10,78,28,0,2,1,1
1992,6,28,26,9,11,2,14,90,24,0,1,3,1
1991,6,27,33,18,27,36,20,161,15,0,2,4,0
1990,6,4,28,17,28,23,6,106,21,0,2,1,2
1989,6,21,30,10,34,35,27,157,12,0,3,3,0
1988,3,10,21,9,10,0,4,54,33,0,1,0,2
1987,3,7,14,0,14,19,1,55,31,0,0,2,
1986,6,22,21,1,0,35,14,93,17,0,0,3,
1985,6,33,35,1,4,11,17,101,14,0,1,4,
1984,6,40,2,34,29,24,11,140,11,0,1,5,
1983,6,,,,,,,101,15,0,0,3,
1982,4,25,2,14,22,26,7,96,13,0,1,2,
1981,8,38,51,22,50,49,49,259,6,2,3,1,
1979,8,1,28,28,48,19,36,160,10,0,2,3,
1978,8,36,18,26,26,48,2,156,12,0,0,2,
1977,8,,,,,,,157,11,1,2,2,
1976,8,25,15,10,42,0,46,138,9,0,0,6,
1975,8,31,28,15,20,18,12,124,14,0,1,1,
1974,8,40,31,11,37,10,9,138,14,0,0,2,
1973,8,35,36,16,37,42,8,174,4,0,2,4,0
1972,8,35,23,14,19,26,43,160,6,1,1,1,
1971,8,29,20,20,13,28,8,118,4,1,0,4,
1970,8,,,,,,,105,11,0,0,1,
1969,8,11,22,40,8,24,14,119,10,0,1,0,0
1968,8,39,56,47,34,45,41,262,5,2,3,2,0
1967,8,,,,,,,101,11,0,0,1,
1966,8,,,,,,,269,4,1,4,1,
1965,8,28,25,33,44,40,8,178,4,0,1,3,
1964,8,48,33,42,6,33,47,209,4,1,1,3,
1963,8,,,,,,,134,8,0,0,2,
1962,8,,,,,,,212,4,0,1,3,
1961,8,,,,,,,203,2,1,0,0,
1959,8,,,,,,,122,5,0,0,0,
