year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,42,16,42,39,26,207,3,4,1,1,0
2021,6,40,2,17,42,35,29,165,4,4,2,0,0
2020,6,42,36,15,42,42,6,183,3,3,3,0,0
2019,6,42,40,26,42,42,35,227,1,6,0,0,0
2018,6,42,41,14,42,42,31,212,1,5,1,0,0
2017,6,42,29,0,42,23,12,148,4,3,3,0,0
2016,6,37,42,27,42,41,25,214,1,6,0,0,0
2015,6,42,32,31,42,25,13,185,1,5,1,0,0
2014,6,42,40,23,42,31,15,193,2,5,1,0,0
2013,6,42,35,14,42,40,17,190,3,4,2,0,0
2012,6,42,40,33,38,23,18,194,3,5,1,0,0
2011,6,42,18,35,42,42,5,184,2,6,0,0,0
2010,6,40,42,8,42,24,12,168,3,3,3,0,0
2009,6,42,42,20,33,42,3,182,6,2,4,0,0
2008,6,42,30,20,41,42,15,190,3,4,2,0,0
2007,6,41,36,6,42,26,4,155,5,2,3,1,0
2006,6,42,41,7,41,20,3,154,5,2,4,0,0
2005,6,27,36,35,42,38,35,213,2,4,2,0,0
2004,6,40,41,20,42,35,34,212,2,5,1,0,0
2003,6,42,36,18,42,36,14,188,3,4,2,0,0
2002,6,38,34,10,24,34,31,171,3,4,1,0,1
2001,6,41,31,28,42,33,21,196,2,4,2,0,0
2000,6,38,40,27,39,22,18,184,3,3,3,0,0
1999,6,42,28,20,33,17,10,150,10,2,3,1,0
1998,6,36,35,34,39,17,25,186,3,3,3,0,0
1997,6,37,37,32,42,38,16,202,4,2,4,0,0
1996,6,39,28,36,35,11,36,185,2,4,2,0,0
1995,6,39,7,31,41,31,29,178,11,0,3,3,0
1994,6,42,42,42,42,42,42,252,1,6,0,0,0
1993,6,28,21,20,15,39,28,151,7,2,2,2,0
1992,6,37,32,32,36,11,33,181,2,3,3,0,0
1991,6,42,42,20,38,39,31,212,5,1,4,1,0
1990,6,23,38,20,37,39,17,174,3,2,3,0,0
1989,6,35,36,14,42,42,38,207,5,1,4,1,0
1988,6,34,29,23,30,27,10,153,6,0,5,1,0
1987,6,42,42,35,36,36,29,220,5,2,3,1,
1986,6,33,42,17,39,39,33,203,1,3,3,0,
1985,6,28,38,34,30,10,40,180,2,2,4,0,
1984,6,42,42,35,28,27,21,195,4,1,4,1,
1983,6,,,,,,,171,2,1,3,2,
1982,4,25,9,27,24,27,24,136,3,1,2,1,
1981,8,55,56,45,56,47,55,314,1,4,3,1,
1979,8,9,40,32,28,38,52,199,5,1,2,2,
1978,8,44,36,47,39,48,11,225,2,1,3,3,
1977,8,,,,,,,202,1,2,3,1,
1976,8,25,18,32,44,26,43,188,3,1,4,1,
1975,8,43,52,37,42,34,39,247,3,3,1,3,
1974,8,40,36,27,43,39,58,243,2,0,5,3,
