year,rankCHN,rankGER,rankIRN,rankJPN,rankKOR,rankPOL,rankRUS,rankUSA,rankVNM
2021,1,12,29,25,3,13,2,4,14
2020,1,26,18,18,4,6,2,3,17
2019,1,32,23,13,3,10,6,1,7
2018,3,31,19,13,7,9,2,1,20
2017,2,33,5,6,1,22,11,4,3
2016,3,19,24,10,2,42,7,1,11
2015,2,27,7,22,3,17,8,1,5
2014,1,16,21,5,7,26,4,2,10
2013,1,27,10,11,2,45,4,3,7
2012,2,31,8,17,1,18,4,3,9
2011,1,11,10,12,13,15,4,2,31
2010,1,9,16,7,4,24,2,3,11
2009,1,9,15,2,4,25,3,6,15
2008,1,20,5,11,4,13,2,3,12
2007,2,15,12,6,3,18,1,5,3
2006,1,4,8,7,3,11,2,5,13
2005,1,12,4,8,5,27,3,2,15
2004,1,25,9,8,12,16,3,2,4
2003,2,17,17,9,6,22,5,3,4
2002,1,10,11,16,6,21,2,3,5
2001,1,14,18,13,4,19,2,2,10
2000,1,20,10,15,4,32,2,3,5
1999,1,17,8,13,7,19,1,10,3
1997,1,13,3,12,11,20,4,4,10
1996,6,10,9,11,8,13,4,2,7
1995,1,15,8,9,7,16,3,11,4
1994,2,11,8,10,13,13,3,1,6
1993,1,2,6,20,15,28,4,7,9
1992,1,7,14,8,18,24,6,2,10
