year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,41,15,28,37,15,178,14,2,2,1,1
2021,6,41,8,4,42,42,14,151,5,3,3,0,0
2020,6,42,28,14,42,30,5,161,12,3,1,2,0
2019,6,42,16,3,39,42,2,144,24,1,1,4,0
2018,6,42,27,1,42,36,8,156,16,0,5,1,0
2017,6,42,22,0,37,1,8,110,29,1,2,2,1
2016,6,36,27,3,42,30,10,148,12,2,2,1,1
2015,6,39,17,7,42,21,14,140,9,2,0,4,0
2014,6,41,37,6,38,24,13,159,9,2,1,3,0
2013,6,42,23,7,42,34,15,163,11,2,2,2,0
2012,6,42,32,9,39,24,13,159,5,3,1,2,0
2011,6,42,4,9,42,34,1,132,17,1,2,3,0
2010,6,37,21,12,35,17,7,129,13,2,1,2,1
2009,6,41,35,13,33,36,0,158,18,1,3,2,0
2008,6,42,29,1,38,25,0,135,22,0,2,4,0
2007,6,32,21,0,41,4,0,98,27,0,1,3,1
2006,6,42,27,7,41,5,1,123,15,0,5,1,0
2005,6,31,31,9,29,20,12,132,19,1,2,2,0
2004,6,35,25,18,33,11,10,132,21,1,0,3,2
2003,6,29,26,14,36,12,2,119,12,2,0,3,0
2002,6,30,25,11,42,29,5,142,12,1,3,1,1
2001,6,37,8,8,24,15,8,100,24,1,0,4,0
2000,6,31,23,9,25,21,3,112,17,1,2,1,1
1999,6,31,6,9,16,1,11,74,31,0,0,3,0
1998,6,26,11,12,34,27,3,113,20,1,1,2,1
1997,6,16,16,11,30,29,5,107,29,0,2,2,1
1996,6,26,10,18,20,1,36,111,16,0,3,3,0
1995,6,38,7,28,41,33,6,153,19,0,2,3,1
1994,6,28,38,29,15,24,9,143,24,1,0,3,1
1993,6,19,30,1,16,29,18,113,18,1,1,3,0
1992,6,27,21,10,28,3,16,105,22,1,0,3,1
1991,6,38,27,23,40,25,11,164,14,1,2,2,1
1990,6,31,17,15,23,37,16,139,11,0,3,1,2
1989,6,30,18,3,24,35,13,123,19,0,1,3,2
1988,6,30,23,11,20,32,8,124,10,1,1,2,1
1987,6,21,41,13,23,31,10,139,16,1,1,1,
1986,6,31,24,2,16,22,17,112,16,0,2,1,
1985,6,30,42,2,15,9,7,105,12,0,1,4,
1984,6,30,15,1,24,12,1,83,20,0,0,1,
1983,6,,,,,,,102,14,0,0,4,
1982,4,21,1,9,16,21,10,78,17,0,0,2,
1981,8,30,40,33,48,42,56,249,7,2,2,1,
