year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,41,15,42,42,9,191,8,3,3,0,0
2021,6,39,1,3,42,19,0,104,29,0,3,3,0
2020,6,42,22,4,36,42,3,149,18,1,3,2,0
2019,6,35,38,3,40,27,2,145,23,1,2,3,0
2018,6,42,37,6,39,18,8,150,19,1,3,1,1
2017,6,42,32,0,42,17,9,142,5,2,3,1,0
2016,6,42,16,3,42,18,4,125,24,0,3,3,0
2015,6,40,14,31,42,12,6,145,7,3,2,1,0
2014,6,42,27,2,42,18,0,131,21,0,4,2,0
2013,6,36,23,31,42,35,1,168,10,2,3,1,0
2012,6,42,29,6,39,34,1,151,8,3,2,1,0
2011,6,40,3,15,42,41,10,151,10,2,4,0,0
2010,6,35,42,4,42,3,1,127,16,0,4,2,0
2009,6,42,42,10,30,34,3,161,15,1,4,1,0
2008,6,42,37,14,42,37,9,181,5,1,5,0,0
2007,6,33,29,2,42,32,5,143,12,1,3,2,0
2006,6,42,31,8,39,24,1,145,8,3,3,0,0
2005,6,36,42,22,42,37,22,201,4,2,4,0,0
2004,6,40,31,15,42,36,14,178,9,1,5,0,0
2003,6,27,20,0,42,6,17,112,17,0,3,2,1
2002,6,38,31,6,39,26,3,143,11,0,4,2,0
2001,6,30,19,14,30,18,0,111,18,0,2,4,0
2000,6,42,23,5,30,36,19,155,10,2,3,1,0
1999,6,36,32,6,42,24,19,159,8,2,4,0,0
1998,6,42,42,18,36,38,35,211,1,5,1,0,0
1997,6,33,42,42,42,42,16,217,3,4,2,0,0
1996,6,23,42,29,23,8,18,143,9,1,4,1,0
1995,6,42,30,32,38,42,18,202,8,2,3,1,0
1994,6,27,40,35,35,36,30,203,8,2,2,2,0
1993,6,35,23,5,24,42,24,153,6,2,3,1,0
1992,6,30,29,18,41,2,13,133,14,0,3,2,1
1991,6,36,39,21,32,39,24,191,8,2,1,2,0
1990,6,27,16,17,24,24,14,122,14,0,4,0,0
1989,6,26,34,10,28,29,20,147,14,0,2,3,1
1988,6,24,16,8,12,22,4,86,20,0,1,3,0
1987,6,11,22,1,8,23,5,70,26,0,0,1,
1985,1,7,6,3,0,5,7,28,31,0,1,0,
