year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2022,6,42,42,26,42,41,15,208,2,3,3,0,0
2021,6,40,9,10,42,35,36,172,3,5,1,0,0
2020,6,42,32,22,38,36,5,175,4,2,3,1,0
2019,6,42,39,31,42,42,30,226,3,6,0,0,0
2018,6,42,42,3,42,36,12,177,7,3,3,0,0
2017,6,42,39,1,42,22,24,170,1,6,0,0,0
2016,6,42,41,23,42,33,26,207,2,4,2,0,0
2015,6,42,15,18,42,25,19,161,3,3,1,2,0
2014,6,42,29,23,42,27,9,172,7,2,4,0,0
2013,6,42,38,26,42,36,20,204,2,5,1,0,0
2012,6,42,42,21,39,42,23,209,1,6,0,0,0
2011,6,42,7,24,30,36,5,144,13,2,3,0,1
2010,6,42,42,24,42,0,6,156,4,4,2,0,0
2009,6,42,42,22,40,42,0,188,4,3,3,0,0
2008,6,41,42,26,42,35,2,188,4,4,2,0,0
2007,6,38,41,9,42,36,2,168,3,2,4,0,0
2006,6,42,20,30,42,29,7,170,3,4,2,0,0
2005,6,28,42,27,42,42,19,200,5,3,3,0,0
2004,6,39,34,16,37,30,10,166,12,2,2,2,0
2003,6,35,33,1,39,31,18,157,6,2,4,0,0
2002,6,31,36,9,42,37,8,163,6,1,5,0,0
2001,6,42,42,9,42,39,11,185,4,3,3,0,0
2000,6,42,40,15,24,30,21,172,4,3,3,0,0
1999,6,41,30,20,42,22,9,164,7,3,3,0,0
1998,6,29,22,18,35,34,16,154,12,2,2,2,0
1997,6,33,42,16,33,31,9,164,11,1,4,1,0
1996,6,24,30,26,22,12,37,151,8,2,3,0,0
1995,6,42,42,37,39,28,15,203,7,2,3,1,0
1994,6,24,35,42,33,36,0,170,13,0,2,4,0
1993,6,24,31,6,8,30,17,116,15,0,3,3,0
1992,6,38,22,11,37,8,6,122,18,1,0,4,0
1991,6,39,34,12,28,24,14,151,17,0,1,4,1
1990,6,10,16,8,20,22,3,79,32,0,1,1,1
1989,6,11,28,0,30,6,22,97,28,0,1,0,4
1988,6,23,15,5,7,27,2,79,22,0,0,3,0
