year,team_size,problem1,problem2,problem3,problem4,problem5,problem6,total,rank,gold_medals,silver_medals,bronze_medals,honourable_mentions
2021,6,40,17,21,42,35,28,183,2,5,1,0,0
2020,6,42,31,28,42,36,6,185,2,2,4,0,0
2019,6,39,40,17,35,42,6,179,6,2,4,0,0
2018,6,42,42,11,42,41,23,201,2,5,1,0,0
2017,6,42,26,7,37,8,8,128,11,1,3,2,0
2016,6,42,28,10,41,37,7,165,7,4,1,1,0
2015,6,42,19,8,42,9,21,141,8,0,6,0,0
2014,6,42,40,29,42,24,14,191,4,3,3,0,0
2013,6,42,34,16,42,40,13,187,4,4,2,0,0
2012,6,42,35,21,41,29,9,177,4,4,2,0,0
2011,6,42,10,23,40,42,4,161,4,2,4,0,0
2010,6,41,35,11,42,20,20,169,2,4,2,0,0
2009,6,42,39,31,42,42,7,203,3,5,1,0,0
2008,6,42,33,35,42,42,5,199,2,6,0,0,0
2007,6,42,42,12,42,37,9,184,1,5,1,0,0
2006,6,42,36,11,42,28,15,174,2,3,3,0,0
2005,6,42,42,20,42,35,31,212,3,4,2,0,0
2004,6,42,34,25,42,35,27,205,3,4,1,1,0
2003,6,37,32,14,42,30,12,167,5,3,2,1,0
2002,6,42,42,16,42,42,20,204,2,6,0,0,0
2001,6,41,28,25,42,39,21,196,2,5,1,0,0
2000,6,42,36,25,38,42,32,215,2,5,1,0,0
1999,6,42,37,21,34,37,11,182,1,4,2,0,0
1998,6,31,42,23,40,21,18,175,6,2,3,1,0
1997,6,38,42,29,30,42,21,202,4,3,2,1,0
1996,6,28,36,33,36,5,24,162,4,2,3,1,0
1995,6,42,42,42,42,42,17,227,3,4,2,0,0
1994,6,29,42,40,42,40,31,224,3,3,2,1,0
1993,6,28,23,25,30,38,33,177,4,4,1,1,0
1992,6,35,34,35,22,8,24,158,6,2,2,2,0
